name,ra,rp,ratio,T,vt,family,method,denom,h,e_phase,energy_max,energy_final,L_max,pericentre_error,apocentre_error,angular_phase_error
ra1_q0.2,1.0,0.2,0.2,5.515082090672513,0.16666666666666669,moderate,KDK,4,1.3787705226681282,9.81823027984979,1.8477055575410992,1.7907371279495907,9.992007221626407e-15,0.461093802989076,9.202398107035204,-19.694284388754312
ra1_q0.05,1.0,0.05,0.05,5.179202175205102,0.047619047619047616,strong,KDK,4,1.2948005438012755,54.362019652474466,2.1863074315422155,2.140242441353393,2.354783035229957e-13,1.0545482563719268,54.20402790060477,-30.93268355492422
ra10_q0.5,10.0,5.0,0.5,131.83549189152566,0.22473328748774737,moderate,KDK,4,32.958872972881416,1.1394949137093544,0.07866309146964069,0.06755728941015768,3.952144471470651e-16,0.6500478269023692,0.12095517953265755,-11.476789773968683
ra10_q0.2,10.0,2.0,0.2,96.3165263651157,0.14213381090374028,moderate,KDK,4,24.079131591278927,69.05055502248484,4.48402212369914,4.36727855712985,4.671044591743742e-14,1.1020239588679304,67.03675435327159,-47.37682093485456
ra10_q0.05,10.0,0.5,0.05,82.26046778076812,0.05372153093502534,strong,KDK,4,20.56511694519203,164.65951345774513,25.74096706991835,25.700825904409935,1.3154073290066763e-12,3.598629430752367,163.18219654063324,-39.57881517709655
ra0.05_q1,0.05,0.05,1.0,1.4752110935185525,0.21295885499997996,circular,S4G,4,0.3688027733796381,0.19786267338454547,3.3613758066620403e-06,7.968729800218022e-07,1.140414126647966e-15,-0.006841963189049283,0.0,-0.14210845760798918
ra0.1_q1,0.1,0.1,1.0,2.1856094184751425,0.28747978728803447,circular,S4G,4,0.5464023546187856,0.25588708741496524,4.724137970305417e-06,8.982749239676885e-08,6.034245024116205e-16,-0.005907599786757617,0.0,-0.1805170883177496
ra0.3_q1,0.3,0.3,1.0,4.473875023445472,0.4213250442347431,circular,S4G,4,1.118468755861368,0.5371205067870995,7.796376516368337e-07,4.8125895195553266e-08,4.3917914043525304e-16,-0.0015320493676209321,0.0,-0.38240392003612556
ra1_q1,1.0,1.0,1.0,12.566370614359172,0.5,circular,S4G,4,3.141592653589793,1.4532961202735781,0.00010444991646825959,6.48329132226048e-05,3.3306690738754696e-16,0.0,0.012654642143866468,-1.075725475249918
ra3_q1,3.0,3.0,1.0,43.531184741621225,0.43301270189221935,circular,S4G,4,10.882796185405306,2.5545124444509093,0.000964012529615843,0.0009373738457721714,5.127900497022837e-16,0.0,0.03378022122431101,-2.2488801726155643
ra10_q1,10.0,10.0,1.0,218.56094184751421,0.28747978728803447,circular,S4G,4,54.640235461878554,2.7990679269294283,0.0027481877108776623,0.00027684028730049973,6.179066904694994e-16,0.0,0.05574764562920968,-3.4220161249529184
ra0.1_q0.5,0.1,0.05,0.5,1.1061450642821737,0.16988239714587516,moderate,S4G,4,0.27653626607054344,0.4189193155951668,0.002616920742127537,0.00226325224426992,1.0211319743076319e-15,-0.03095997578579507,0.0395091327548433,-0.34988665464956625
ra0.1_q0.2,0.1,0.020000000000000004,0.2,1.005453905542719,0.07708288167714672,moderate,S4G,4,0.25136347638567974,0.44307294770447114,0.003489131871269829,0.0016967875788184135,1.2377558947307903e-15,0.0144869384178823,0.020528013140489743,-0.42553121233157754
ra0.1_q0.05,0.1,0.005000000000000001,0.05,0.9725683631518718,0.020754438065228763,strong,S4G,4,0.24314209078796795,1.5384856931941435,0.048044392575541606,0.04070419409642962,1.6716650872693105e-15,0.0792882647819612,0.3075579354558139,3.56901071054331
ra1_q0.5,1.0,0.5,0.5,6.59182096351981,0.3333333333333333,moderate,S4G,4,1.6479552408799525,1.4377005795947797,0.021070819334090843,0.018547077186895827,4.996003610813204e-16,-0.02889474046792906,0.0663965473023973,-1.2549247535761552
ra1_q0.2,1.0,0.2,0.2,5.515082090672513,0.16666666666666669,moderate,S4G,4,1.3787705226681282,3.4073673157192115,0.5096490917451704,0.5070255771202603,2.498001805406602e-15,0.08959390575059928,2.0827670391241724,-14.271858300605889
ra1_q0.05,1.0,0.05,0.05,5.179202175205102,0.047619047619047616,strong,S4G,4,1.2948005438012755,2.0158952153856573,0.9899195832514894,0.982911943729739,6.265821195228227e-15,0.18995950163019748,0.7897314131994257,-5.581811344972262
ra10_q0.5,10.0,5.0,0.5,131.83549189152566,0.22473328748774737,moderate,S4G,4,32.958872972881416,0.13901571686593092,0.0705530372222012,0.0019525873595315254,7.904288942941302e-16,0.07097539077794668,0.146135883622531,-6.393811630406063
ra10_q0.2,10.0,2.0,0.2,96.3165263651157,0.14213381090374028,moderate,S4G,4,24.079131591278927,25.60300590981094,1.8263168107278647,1.7462947321243716,1.6559556077753733e-14,0.4516195041098472,25.168386333349066,-44.87059861379059
ra10_q0.05,10.0,0.5,0.05,82.26046778076812,0.05372153093502534,strong,S4G,4,20.56511694519203,141.15199196285738,19.19339004972706,19.19199778362221,1.2856479173213721e-12,1.1287962947218468,140.0757730469431,-39.19446061234352
ra0.05_q1,0.05,0.05,1.0,1.4752110935185525,0.21295885499997996,circular,KDK,6,0.24586851558642542,1.3940550748140161,0.0028113712333898808,0.00048475340291419695,1.3033304304548183e-15,0.0,0.22915258485892806,-1.0940468234217988
ra0.1_q1,0.1,0.1,1.0,2.1856094184751425,0.28747978728803447,circular,KDK,6,0.36426823641252376,1.93911887548176,0.0054965914118494785,0.0053796577982951795,4.827396019292964e-16,0.0,0.23422253075016206,-1.4946488318323787
ra0.3_q1,0.3,0.3,1.0,4.473875023445472,0.4213250442347431,circular,KDK,6,0.7456458372409119,2.8594529000917266,0.015301972116958117,0.01307505055005134,6.587687106528795e-16,0.0,0.25595302702689265,-2.899174139998614
