case,method,theta,h,t,phase_rms,phase_median,local_phase_rms,phase_p90,phase_p99,mass_profile_max_abs,energy_relative,com_drift,L_drift,runtime_to_output_s,total_runtime_s
KDK_theta0.8_d64,KDK,0.8,0.015625,2.0,0.0004959346955745656,8.002266972248834e-05,0.0010748269825702269,0.0006787525133982189,0.0021201743741902468,3.0000000000030003e-05,1.827267935495049e-06,2.021847361378394e-08,1.2045830750980417e-06,1.8968165910919197,5.673723706160672
KDK_theta0.8_d64,KDK,0.8,0.015625,4.0,0.001164934686073154,0.00019428164393585996,0.0026714390240564993,0.001453632325142106,0.005150625528190429,0.00010000000000000286,3.1096966709574764e-06,3.023632404971652e-08,2.6718274808929834e-06,3.7816501451306976,5.673723706160672
KDK_theta0.8_d64,KDK,0.8,0.015625,6.0,0.002388432365126885,0.0003804253298066308,0.005376074977605337,0.0027845135534204464,0.010210806089133967,7.999999999999674e-05,3.336815823844518e-06,3.18171510236901e-08,3.6798441373785287e-06,5.673723706160672,5.673723706160672
S4G_theta0.5_d128,S4G,0.5,0.0078125,0.25,4.807916512477153e-05,3.5344505223779907e-06,1.388679601189005e-05,2.6976319232518702e-05,0.00025165470390317335,0.0,4.720864497425492e-08,4.10918729278002e-08,3.181247987837841e-08,3.391309601953253,80.88037095096661
S4G_theta0.5_d128,S4G,0.5,0.0078125,1.0,0.00016444216398476643,1.1723047609272384e-05,4.154157107968537e-05,6.322950292524358e-05,0.0009765631630381814,1.0000000000010001e-05,3.1424845539161997e-07,2.1121354924116998e-07,8.023677043560671e-08,13.507801556959748,80.88037095096661
S4G_theta0.5_d128,S4G,0.5,0.0078125,2.0,0.0002893870895501212,2.4093423241239678e-05,8.058732819501445e-05,0.00010797528199452016,0.0012875850583899684,1.0000000000000026e-05,1.0490420910935001e-07,2.7144965932239524e-07,1.86686782567558e-07,27.00141484994674,80.88037095096661
S4G_theta0.5_d128,S4G,0.5,0.0078125,4.0,0.0004809038624919694,5.7858680700145556e-05,0.00018782697596360007,0.0002166151954180369,0.001681101259295876,1.0000000000003062e-05,2.3334083318338846e-07,4.5586519480587403e-07,3.991573464851569e-07,53.929522032965906,80.88037095096661
S4G_theta0.5_d128,S4G,0.5,0.0078125,6.0,0.0006374644903947041,0.00010541362269720463,0.00033366131267999384,0.00038504224464298755,0.0019222153382982567,2.0000000000006124e-05,1.302512458800239e-08,6.192159428969096e-07,2.9396779650776394e-07,80.88037095096661,80.88037095096661
S4G_theta0.5_d16,S4G,0.5,0.0625,0.25,0.0007203090342602622,1.101223158652949e-05,0.0010923018157872062,0.0009050608776339181,0.0032339469855193273,1.9999999999999185e-05,7.956659037197864e-06,5.789359881899916e-09,2.6923360279012323e-08,0.42284230899531394,10.059632661985233
S4G_theta0.5_d16,S4G,0.5,0.0625,1.0,0.0013824137323162013,5.025867769472814e-05,0.0029141766450752325,0.002013609466122826,0.005821116157038788,8.000000000000368e-05,2.6719015982813122e-05,1.2740589028027799e-08,7.268245498134848e-08,1.681130699987989,10.059632661985233
S4G_theta0.5_d16,S4G,0.5,0.0625,2.0,0.00255040023469087,0.00012679217893997512,0.006296773385463581,0.003496257276818709,0.010720008104288331,7.999999999999674e-05,2.5283294231336186e-05,1.7736904142858255e-08,1.3171287152990367e-07,3.3641116570215672,10.059632661985233
S4G_theta0.5_d16,S4G,0.5,0.0625,4.0,0.006935698780782249,0.0004111432187936069,0.01667682033026646,0.008091358056153342,0.03038495072030131,0.0001999999999999988,-3.955043400643661e-06,4.9263494550384236e-08,3.1877890200734286e-07,6.710612900031265,10.059632661985233
S4G_theta0.5_d16,S4G,0.5,0.0625,6.0,0.014739491889872527,0.0009734842435453948,0.03367315785295976,0.01619453413074471,0.06496065078869527,0.00016000000000000042,4.073373997930246e-05,1.1068212008869343e-07,2.595317101212364e-07,10.059632661985233,10.059632661985233
S4G_theta0.5_d32,S4G,0.5,0.03125,0.25,0.00017933238900193015,6.289018818273979e-06,0.0002591739062634118,0.00021137095995335628,0.000802519954996909,0.0,9.789332729692707e-07,7.3276259765559e-09,2.8347612621300032e-08,0.844027282029856,20.125465541961603
S4G_theta0.5_d32,S4G,0.5,0.03125,1.0,0.0003668801807218504,2.5243676137719478e-05,0.0006966375246021205,0.0005492681136884617,0.0015302292489127946,4.000000000001225e-05,2.730199291073289e-06,2.530116745100239e-08,7.040698365258965e-08,3.36394906998612,20.125465541961603
S4G_theta0.5_d32,S4G,0.5,0.03125,2.0,0.0006769964918042506,5.706989132560236e-05,0.0015225679066859892,0.0009834584062555103,0.002850969876369383,6.0000000000004494e-05,2.037840418211272e-06,2.1966408978444336e-08,1.4302151023171414e-07,6.723114053951576,20.125465541961603
S4G_theta0.5_d32,S4G,0.5,0.03125,4.0,0.0018092054009899924,0.00016693982431625502,0.003948866435604847,0.00228099399163508,0.00785039570392487,9.000000000000327e-05,1.4728678684083795e-05,1.4478085090042864e-08,3.290467551222485e-07,13.418718725966755,20.125465541961603
S4G_theta0.5_d32,S4G,0.5,0.03125,6.0,0.004000311842214491,0.0003718709555290091,0.008744065545850681,0.004577470176142142,0.01716542377089591,0.00016000000000000736,1.4133645986500884e-05,9.932003538639377e-08,2.7136197206661556e-07,20.125465541961603,20.125465541961603
S4G_theta0.5_d4,S4G,0.5,0.25,0.25,0.004569410962753435,8.436645094389041e-05,0.0073773980345695316,0.005612042282701277,0.019300034255094533,3.0000000000002247e-05,4.986727619979049e-05,9.464104135873285e-10,3.4361288637977895e-08,0.10718096798518673,2.5253598060808145
S4G_theta0.5_d4,S4G,0.5,0.25,1.0,0.008928606673655633,0.0004502258942506965,0.02044025703143331,0.011995019714629471,0.03674659477195617,0.0001500000000000043,0.00014704408958573722,2.4722997488868798e-09,8.396714885465052e-08,0.42405439499998465,2.5253598060808145
S4G_theta0.5_d4,S4G,0.5,0.25,2.0,0.016684158661686585,0.0010937120792532833,0.044344457013326524,0.020046216924608208,0.06890733281064133,0.00034999999999999615,0.0003821816280332583,1.0091212891579534e-08,1.3972107632745497e-07,0.8451490550069138,2.5253598060808145
S4G_theta0.5_d4,S4G,0.5,0.25,4.0,0.04157488536503547,0.0029731938760815244,0.09960809713423449,0.0428654666950777,0.1866257417463383,0.0005299999999999958,0.0008970445301603314,4.375417332550156e-08,3.162117466139184e-07,1.6856981150340289,2.5253598060808145
S4G_theta0.5_d4,S4G,0.5,0.25,6.0,0.07588660755717515,0.006135429786101387,0.1769282244587529,0.07779725049948895,0.3488082733762525,0.0005000000000000004,0.0013315538882369409,1.0443169537512597e-07,2.0774534877179954e-07,2.5253598060808145,2.5253598060808145
S4G_theta0.5_d64,S4G,0.5,0.015625,0.25,4.8708574468667984e-05,4.388841002711559e-06,3.943470311823331e-05,5.269542590263891e-05,0.0002460411657149988,0.0,-3.004295682316633e-07,1.8429566700501933e-08,2.797956467584251e-08,1.687700989015866,40.28246833191952
S4G_theta0.5_d64,S4G,0.5,0.015625,1.0,0.00015050189390157485,1.5599881632075027e-05,0.00010795086083659272,0.00011346729352811787,0.0007310889043908366,1.0000000000010001e-05,-1.324663799916527e-06,7.370038119957523e-08,6.302444974184069e-08,6.7201211379724555,40.28246833191952
S4G_theta0.5_d64,S4G,0.5,0.015625,2.0,0.00026774110071383115,3.300468207041042e-05,0.00023582283290993244,0.00019658820779076044,0.001251802019259544,1.9999999999999185e-05,-2.4357760063343685e-07,6.701359028221474e-08,1.2577561807939207e-07,13.426611518952996,40.28246833191952
S4G_theta0.5_d64,S4G,0.5,0.015625,4.0,0.0004921141621628357,8.288963763858605e-05,0.0006251705814918053,0.0004459832239537161,0.0020975571735744195,3.0000000000002247e-05,-9.812564513186874e-07,7.835061763526372e-08,2.9753823179247846e-07,26.822844923939556,40.28246833191952
S4G_theta0.5_d64,S4G,0.5,0.015625,6.0,0.0008149276282732889,0.0001588838798562723,0.0013224839824548698,0.0008618207803834773,0.0035208317294540188,5.9999999999997555e-05,-1.6338521258465216e-06,5.344008110900983e-08,2.812567369067923e-07,40.28246833191952,40.28246833191952
